playerName,playerState,totalPoints,preRating,avgOpp
 GARY HUA                        ,   ON ,6.0  , 1794   ,1605
 DAKSHESH DARURI                 ,   MI ,6.0  , 1553   ,1469
 ADITYA BAJAJ                    ,   MI ,6.0  , 1384   ,1564
 PATRICK H SCHILLING             ,   MI ,5.5  , 1716   ,1574
 HANSHI ZUO                      ,   MI ,5.5  , 1655   ,1501
 HANSEN SONG                     ,   OH ,5.0  , 1686   ,1519
 GARY DEE SWATHELL               ,   MI ,5.0  , 1649   ,1372
 EZEKIEL HOUGHTON                ,   MI ,5.0  , 1641,1468
 STEFANO LEE                     ,   ON ,5.0  , 1411   ,1523
 ANVIT RAO                       ,   MI ,5.0  , 1365   ,1554
 CAMERON WILLIAM MC LEMAN        ,   MI ,4.5  , 1712   ,1468
 TORRANCE HENRY JR               ,   MI ,4.5  , 1666   ,1498
 BRADLEY SHAW                    ,   MI ,4.5  , 1610   ,1515
 ZACHARY JAMES HOUGHTON          ,   MI ,4.5  , 1220,1484
 RONALD GRZEGORCZYK              ,   MI ,4.0  , 1629   ,1499
 DAVID SUNDEEN                   ,   MI ,4.0  , 1600   ,1480
 DIPANKAR ROY                    ,   MI ,4.0  , 1564   ,1426
 JASON ZHENG                     ,   MI ,4.0  , 1595   ,1411
 DINH DANG BUI                   ,   ON ,4.0  , 1563,1470
 ALAN BUI                        ,   ON ,4.0  , 1363   ,1214
 MICHAEL R ALDRICH               ,   MI ,4.0  , 1229   ,1357
 LOREN SCHWIEBERT                ,   MI ,3.5  , 1745   ,1363
 MAX ZHU                         ,   ON ,3.5  , 1579   ,1507
 SOFIA ADINA STANESCU-BELLU      ,   MI ,3.5  , 1507   ,1522
 GEORGE AVERY JONES              ,   ON ,3.5  , 1522   ,1144
 RISHI SHETTY                    ,   MI ,3.5  , 1494   ,1260
 JOSHUA PHILIP MATHEWS           ,   ON ,3.5  , 1441   ,1379
 JADE GE                         ,   MI ,3.5  , 1449   ,1277
 MICHAEL JEFFERY THOMAS          ,   MI ,3.5  , 1399   ,1375
 JOSHUA DAVID LEE                ,   MI ,3.5  , 1438   ,1150
 JOEL R HENDON                   ,   MI ,3.0  , 1436,1430
 FOREST ZHANG                    ,   MI ,3.0  , 1348   ,1391
 JARED GE                        ,   MI ,3.0  , 1332   ,1150
 ROBERT GLEN VASEY               ,   MI ,3.0  , 1283   ,1107
 DEREK YAN                       ,   MI ,3.0  , 1242   ,1152
 JACOB ALEXANDER LAVALLEY        ,   MI ,3.0  ,  377,1358
 ERIC WRIGHT                     ,   MI ,2.5  , 1362   ,1392
 TEJAS AYYAGARI                  ,   MI ,2.5  , 1011   ,1356
 ETHAN GUO                       ,   MI ,2.5  ,  935   ,1495
 JEZZEL FARKAS                   ,   ON ,1.5  ,  955,1327
 BEN LI                          ,   MI ,1.0  , 1163   ,1263
