"","value"
"1","CHAPTER I."
"2",""
"3",""
"4","You don’t know about me without you have read a book by the name of The"
"5","Adventures of Tom Sawyer; but that ain’t no matter. That book was made"
"6","by Mr. Mark Twain, and he told the truth, mainly. There was things"
"7","which he stretched, but mainly he told the truth. That is nothing. I"
"8","never seen anybody but lied one time or another, without it was Aunt"
"9","Polly, or the widow, or maybe Mary. Aunt Polly—Tom’s Aunt Polly, she"
"10","is—and Mary, and the Widow Douglas is all told about in that book,"
"11","which is mostly a true book, with some stretchers, as I said before."
"12",""
"13","Now the way that the book winds up is this: Tom and me found the money"
"14","that the robbers hid in the cave, and it made us rich. We got six"
"15","thousand dollars apiece—all gold. It was an awful sight of money when"
"16","it was piled up. Well, Judge Thatcher he took it and put it out at"
"17","interest, and it fetched us a dollar a day apiece all the year"
"18","round—more than a body could tell what to do with. The Widow Douglas"
"19","she took me for her son, and allowed she would sivilize me; but it was"
"20","rough living in the house all the time, considering how dismal regular"
"21","and decent the widow was in all her ways; and so when I couldn’t stand"
"22","it no longer I lit out. I got into my old rags and my sugar-hogshead"
"23","again, and was free and satisfied. But Tom Sawyer he hunted me up and"
"24","said he was going to start a band of robbers, and I might join if I"
"25","would go back to the widow and be respectable. So I went back."
"26",""
"27","The widow she cried over me, and called me a poor lost lamb, and she"
"28","called me a lot of other names, too, but she never meant no harm by it."
"29","She put me in them new clothes again, and I couldn’t do nothing but"
"30","sweat and sweat, and feel all cramped up. Well, then, the old thing"
"31","commenced again. The widow rung a bell for supper, and you had to come"
"32","to time. When you got to the table you couldn’t go right to eating, but"
"33","you had to wait for the widow to tuck down her head and grumble a"
"34","little over the victuals, though there warn’t really anything the"
"35","matter with them,—that is, nothing only everything was cooked by"
"36","itself. In a barrel of odds and ends it is different; things get mixed"
"37","up, and the juice kind of swaps around, and the things go better."
"38",""
"39","After supper she got out her book and learned me about Moses and the"
"40","Bulrushers, and I was in a sweat to find out all about him; but"
"41","by-and-by she let it out that Moses had been dead a considerable long"
"42","time; so then I didn’t care no more about him, because I don’t take no"
"43","stock in dead people."
"44",""
"45","Pretty soon I wanted to smoke, and asked the widow to let me. But she"
"46","wouldn’t. She said it was a mean practice and wasn’t clean, and I must"
"47","try to not do it any more. That is just the way with some people. They"
"48","get down on a thing when they don’t know nothing about it. Here she was"
"49","a-bothering about Moses, which was no kin to her, and no use to"
"50","anybody, being gone, you see, yet finding a power of fault with me for"
"51","doing a thing that had some good in it. And she took snuff, too; of"
"52","course that was all right, because she done it herself."
"53",""
"54","Her sister, Miss Watson, a tolerable slim old maid, with goggles on,"
"55","had just come to live with her, and took a set at me now with a"
"56","spelling-book. She worked me middling hard for about an hour, and then"
"57","the widow made her ease up. I couldn’t stood it much longer. Then for"
"58","an hour it was deadly dull, and I was fidgety. Miss Watson would say,"
"59","“Don’t put your feet up there, Huckleberry;” and “Don’t scrunch up like"
"60","that, Huckleberry—set up straight;” and pretty soon she would say,"
"61","“Don’t gap and stretch like that, Huckleberry—why don’t you try to"
"62","behave?” Then she told me all about the bad place, and I said I wished"
"63","I was there. She got mad then, but I didn’t mean no harm. All I wanted"
"64","was to go somewheres; all I wanted was a change, I warn’t particular."
"65","She said it was wicked to say what I said; said she wouldn’t say it for"
"66","the whole world; she was going to live so as to go to the good place."
"67","Well, I couldn’t see no advantage in going where she was going, so I"
"68","made up my mind I wouldn’t try for it. But I never said so, because it"
